slug,nombre_ejercicio,descripcion,beneficios,errores_comunes,precauciones,tipo_ejercicio,musculos_principales,musculos_secundarios,equipamiento_necesario,nivel_recomendado,intensidad,objetivos_principales,ranking_efectividad,etiquetas,variaciones,hsl_link,direct_link,thumbnail_url,preview_url_webp,storage_video
abduccion-polea,Abducción de cadera en polea,"Coloca el tobillero en la polea baja, apóyate en la torre y eleva la pierna hacia afuera, manteniendo la cadera estable. Baja controlado. Ideal para activar glúteo medio y mejorar simetría.","[""Aísla glúteo medio"",""Mejora control neuromuscular"",""Trabajo unilateral y simétrico""]","[""Girar la pelvis"",""Usar impulso"",""No controlar el movimiento""]","[""Controla el peso"",""Mantén el core firme"",""Evita rotar la cadera""]",aislado,Glúteo medio,"[""Glúteo mayor"",""Abductores"",""Core""]","[""Polea baja"",""Tobillera""]","[""Intermedio"",""Avanzado""]",baja,hipertrofia,7,"[""gimnasio"",""piernas"",""polea"",""bajo impacto""]","[""abduccion-polea"",""caminata-lateral-disco"",""patada-gluteo-diagonal-polea""]",https://vz-cddd003b-54d.b-cdn.net/f72c4418-a01f-4a37-ae86-2ac715e4d9ee/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/f72c4418-a01f-4a37-ae86-2ac715e4d9ee,https://vz-cddd003b-54d.b-cdn.net/f72c4418-a01f-4a37-ae86-2ac715e4d9ee/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/f72c4418-a01f-4a37-ae86-2ac715e4d9ee/preview.webp?v=1752883796,https://olympo.b-cdn.net/piernas/Abduccion-Polea.mp4
aductor-acostado-maquina,Aductor acostado en maquina,"Acuéstate boca arriba en la máquina de aductores. Coloca la espalda completamente apoyada, sujeta el asa lateral y ajusta la posición inicial de apertura según tu comodidad. Junta las piernas para liberar el seguro y cierra controladamente las piernas para que el seguro encaje nuevamente. Mantén el movimiento fluido, concentrándote en la contracción de los aductores.","[""Aislamiento preciso de los aductores"",""Mayor control y seguridad del movimiento"",""Favorece la tonificación interna del muslo""]","[""No ajustar correctamente el rango de apertura"",""Usar impulso en lugar de control muscular"",""Separar la espalda del respaldo""]","[""Ajusta bien el ángulo inicial antes de empezar"",""Mantén el abdomen firme y la espalda apoyada"",""Evita bloqueos bruscos al cerrar""]",Aislado,Aductor,"[""Glúteo medio""]","[""Máquina de aductores acostada""]","[""Principiante"",""Intermedio"",""Avanzado""]",Media,hipertrofia,8,"[""gimnasio"",""piernas"",""maquina"",""aductores""]","[""aductor-acostado-maquina""]",https://vz-cddd003b-54d.b-cdn.net/d70574c8-3edc-42ab-880d-c0a15768bb9e/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/d70574c8-3edc-42ab-880d-c0a15768bb9e,https://vz-cddd003b-54d.b-cdn.net/d70574c8-3edc-42ab-880d-c0a15768bb9e/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/d70574c8-3edc-42ab-880d-c0a15768bb9e/preview.webp?v=1761103491,https://olympo.b-cdn.net/piernas/Aductor-Acostado-Maquina.MOV
aperturas-cuerda-inclinado,Aperturas con cuerda en banco inclinado y polea baja,"Coloca un banco inclinado frente a una estación de polea baja doble. Siéntate con la espalda apoyada y toma las cuerdas con ambas manos. Inicia con los brazos abiertos ligeramente flexionados, palmas enfrentadas. Junta los brazos al frente en forma semicircular, manteniendo tensión constante. Este ejercicio enfatiza el pectoral superior al trabajar desde una posición inclinada y permite un estiramiento profundo.","[""Enfoca el pectoral superior"",""Proporciona tensión continua"",""Mejora la amplitud y forma del pecho""]","[""Extender demasiado los codos"",""Cruzar los brazos al frente"",""Usar impulso del torso""]","[""Ajusta el ángulo del banco"",""Elige una carga moderada"",""Evita forzar el rango de movimiento""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Serrato anterior""]","[""Polea baja doble"",""Cuerdas"",""Banco inclinado""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""pecho"",""pectorales"",""gimnasio"",""poleas"",""banco inclinado""]","[""aperturas-cuerda-inclinado"",""aperturas-mancuernas-inclinado"",""aperturas-pec-deck-antebrazos""]",https://vz-cddd003b-54d.b-cdn.net/cc7d8635-f643-483e-99da-0489f98b48e4/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/cc7d8635-f643-483e-99da-0489f98b48e4,https://vz-cddd003b-54d.b-cdn.net/cc7d8635-f643-483e-99da-0489f98b48e4/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/cc7d8635-f643-483e-99da-0489f98b48e4/preview.webp?v=1752873966,https://olympo.b-cdn.net/pecho/Aperturas-Cuerda-Inclinado.mp4
aperturas-cuerda-plano,Aperturas con cuerda en banco plano y polea baja,"Coloca un banco plano entre dos poleas bajas y recuéstate con la espalda totalmente apoyada. Sujeta una cuerda en cada mano con los brazos abiertos y ligeramente flexionados. Junta los brazos al frente del pecho en un movimiento semicircular, manteniendo la tensión constante en los cables. Este ejercicio permite trabajar el pectoral mayor con mayor rango de movimiento y control.","[""Activa el pectoral mayor de forma efectiva"",""Proporciona tensión constante"",""Mayor control que con mancuernas""]","[""Estirar completamente los codos"",""Usar impulso con el torso"",""Cruzar los brazos al frente""]","[""Ajusta la altura de las poleas"",""Controla el movimiento durante todo el rango"",""Evita pesos excesivos al comenzar""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Serrato anterior""]","[""Polea baja doble"",""Cuerdas"",""Banco plano""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""pecho"",""pectorales"",""gimnasio"",""poleas"",""banco plano""]","[""aperturas-cuerda-plano"",""aperturas-mancuernas-plano"",""aperturas-pec-deck""]",https://vz-cddd003b-54d.b-cdn.net/99243f52-8e07-4bbe-9b49-3e7365689a01/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/99243f52-8e07-4bbe-9b49-3e7365689a01,https://vz-cddd003b-54d.b-cdn.net/99243f52-8e07-4bbe-9b49-3e7365689a01/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/99243f52-8e07-4bbe-9b49-3e7365689a01/preview.webp?v=1752874052,https://olympo.b-cdn.net/pecho/Aperturas-Cuerda-Plano.mp4
aperturas-mancuernas-declinado,Aperturas con mancuernas en banco declinado,"En banco declinado, mancuernas arriba con palmas enfrentadas. Abre los brazos en arco hacia los lados, manteniendo los codos flexionados, y junta arriba sin chocar. Excelente para la zona baja del pectoral.","[""Activa la parte inferior del pectoral"",""Mejora amplitud y flexibilidad"",""Alivia tensión en hombro comparado al press""]","[""Extender demasiado los codos"",""No controlar el movimiento"",""Usar peso excesivo""]","[""Elige peso controlado"",""Mantén postura segura"",""Evita estiramiento excesivo""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Bíceps braquial""]","[""Mancuernas"",""Banco declinado""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,7,"[""gimnasio"",""pecho"",""mancuernas""]","[""aperturas-mancuernas-declinado"",""aperturas-pec-deck"",""aperturas-peck-deck-multifuerza""]",https://vz-cddd003b-54d.b-cdn.net/db6caf87-b482-4024-b068-ddc5f25bb830/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/db6caf87-b482-4024-b068-ddc5f25bb830,https://vz-cddd003b-54d.b-cdn.net/db6caf87-b482-4024-b068-ddc5f25bb830/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/db6caf87-b482-4024-b068-ddc5f25bb830/preview.webp?v=1752874098,https://olympo.b-cdn.net/pecho/Aperturas-Mancuernas-Declinado.mp4
aperturas-mancuernas-inclinado,Aperturas con mancuernas en banco inclinado,"En banco inclinado a 30-45°, sujeta las mancuernas arriba con palmas enfrentadas. Abre los brazos hacia los lados sintiendo el estiramiento y junta arriba. Codos levemente flexionados. Enfoca en la parte superior del pecho.","[""Mayor énfasis en fibras superiores"",""Estira y congestiona el pectoral"",""Mejora movilidad y rango articular""]","[""Bajar demasiado los brazos"",""Chocar mancuernas arriba"",""Usar peso excesivo""]","[""Mantén control en el movimiento"",""Elige pesos ligeros"",""No fuerces el rango""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Bíceps braquial""]","[""Mancuernas"",""Banco inclinado""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,7,"[""gimnasio"",""pecho"",""mancuernas""]","[""aperturas-mancuernas-inclinado"",""aperturas-pec-deck-antebrazos"",""aperturas-cuerda-inclinado""]",https://vz-cddd003b-54d.b-cdn.net/9d1d600b-0559-4213-85d3-2fd2da0dca71/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/9d1d600b-0559-4213-85d3-2fd2da0dca71,https://vz-cddd003b-54d.b-cdn.net/9d1d600b-0559-4213-85d3-2fd2da0dca71/thumbnail_19ef410d.jpg,https://vz-cddd003b-54d.b-cdn.net/9d1d600b-0559-4213-85d3-2fd2da0dca71/preview.webp?v=1752899667,https://olympo.b-cdn.net/pecho/Apertura-Mancuernas-Inclinado.mp4
aperturas-mancuernas-plano,Aperturas con mancuernas en banco plano,"Acuéstate en banco plano con mancuernas, brazos casi extendidos, palmas enfrentadas. Abre los brazos en arco, sintiendo el estiramiento del pecho, y junta arriba sin chocar. Mantén codos ligeramente flexionados. Gran ejercicio para estirar y activar el pectoral mayor.","[""Estira y activa fibras del pectoral mayor"",""Mejora la amplitud y forma del pecho"",""Aumenta la movilidad de hombro""]","[""Extender brazos en exceso"",""Usar pesos muy altos"",""No controlar la bajada""]","[""Usa peso ligero"",""Controla el rango de movimiento"",""No bajes más de lo cómodo""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Bíceps braquial""]","[""Mancuernas"",""Banco plano""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""pecho"",""mancuernas""]","[""aperturas-mancuernas-plano"",""aperturas-pec-deck"",""aperturas-cuerda-plano""]",https://vz-cddd003b-54d.b-cdn.net/6a942a6d-7a28-4af6-9477-b2e52ffec89b/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/6a942a6d-7a28-4af6-9477-b2e52ffec89b,https://vz-cddd003b-54d.b-cdn.net/6a942a6d-7a28-4af6-9477-b2e52ffec89b/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/6a942a6d-7a28-4af6-9477-b2e52ffec89b/preview.webp?v=1752874145,https://olympo.b-cdn.net/pecho/Aperturas-Mancuernas-Plano.mp4
aperturas-pec-deck,Aperturas en peck deck,"Siéntate en la máquina pec deck, ajusta el asiento para alinear los agarres con el pecho. Lleva los agarres al frente, brazos casi extendidos, junta los brazos controladamente. Ideal para congestión y aislamiento del pectoral.","[""Aísla el pectoral mayor"",""Permite ajuste de carga y seguridad"",""Mejora bombeo y amplitud de pecho""]","[""No ajustar la máquina"",""Usar impulso"",""Rango incompleto""]","[""Ajusta la máquina"",""Peso moderado"",""Control en todo el rango""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Bíceps braquial""]","[""Pec Deck""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""pecho"",""maquina""]","[""aperturas-pec-deck"",""aperturas-mancuernas-plano"",""aperturas-mancuernas-declinado""]",https://vz-cddd003b-54d.b-cdn.net/69bbfa6d-1f3a-46a8-bc52-ab1dc3b666be/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/69bbfa6d-1f3a-46a8-bc52-ab1dc3b666be,https://vz-cddd003b-54d.b-cdn.net/69bbfa6d-1f3a-46a8-bc52-ab1dc3b666be/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/69bbfa6d-1f3a-46a8-bc52-ab1dc3b666be/preview.webp?v=1752874185,https://olympo.b-cdn.net/pecho/Aperturas-Peck-Deck.mp4
aperturas-pec-deck-antebrazos,Aperturas en Pec Deck con agarre de antebrazos,"Siéntate en la máquina Pec Deck con almohadillas para los antebrazos. Ajusta el asiento de manera que los codos queden alineados a los lados del pecho, no hacia abajo. Apoya los antebrazos sobre las almohadillas y junta los brazos al frente en un movimiento semicircular. Este agarre permite un enfoque aún más directo en el pectoral mayor, reduciendo la intervención de brazos y hombros.","[""Mayor aislamiento del pectoral mayor"",""Reduce intervención del bíceps"",""Permite congestión controlada con menos carga""]","[""No alinear los codos correctamente"",""Cerrar con impulso"",""Perder la tensión al final del movimiento""]","[""Ajusta bien las almohadillas"",""Evita rebotes"",""Controla el retorno del movimiento""]",aislado,Pectoral mayor,"[""Deltoides anterior""]","[""Pec Deck con almohadillas de antebrazo""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""pecho"",""maquina""]","[""aperturas-pec-deck-antebrazos"",""aperturas-pec-deck"",""aperturas-peck-deck-multifuerza""]",https://vz-cddd003b-54d.b-cdn.net/39e1968f-5b48-494a-a2dd-8ceed00b9e12/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/39e1968f-5b48-494a-a2dd-8ceed00b9e12,https://vz-cddd003b-54d.b-cdn.net/39e1968f-5b48-494a-a2dd-8ceed00b9e12/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/39e1968f-5b48-494a-a2dd-8ceed00b9e12/preview.webp?v=1752874249,https://olympo.b-cdn.net/pecho/Aperturas-Peck-Deck-Antebrazos.mp4
aperturas-peck-deck-multifuerza,Aperturas en Pec Deck en máquina multifuerza,"Siéntate en la máquina multifuerza con agarres dobles y ajusta el respaldo para que los codos queden alineados con el pecho. Usa los brazos con agarre horizontal, apoyando los antebrazos o sujetando las palancas según el diseño. Junta los brazos al frente en un movimiento semicircular, manteniendo los codos ligeramente flexionados. Esta máquina permite trabajar el pectoral mayor con buena estabilidad y también puede ser usada en reversa para espalda.","[""Permite trabajar pecho y espalda posterior"",""Buena estabilidad articular"",""Fácil de ajustar para distintos usuarios""]","[""Cerrar con impulso"",""No alinear los codos con el pecho"",""Acortar el rango de movimiento""]","[""Ajusta correctamente la máquina"",""Mantén control en todo el recorrido"",""Evita sobreextender los brazos""]",aislado,Pectoral mayor,"[""Deltoides anterior"",""Serrato anterior""]","[""Máquina multifuerza"",""Pec Deck""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,7,"[""pecho"",""gimnasio"",""pec deck"",""multifuerza""]","[""aperturas-peck-deck-multifuerza"",""aperturas-pec-deck"",""aperturas-pec-deck-antebrazos""]",https://vz-cddd003b-54d.b-cdn.net/8ddcacc1-1c6d-48ea-8f98-c5b3e466184b/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/8ddcacc1-1c6d-48ea-8f98-c5b3e466184b,https://vz-cddd003b-54d.b-cdn.net/8ddcacc1-1c6d-48ea-8f98-c5b3e466184b/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/8ddcacc1-1c6d-48ea-8f98-c5b3e466184b/preview.webp?v=1761154468,https://olympo.b-cdn.net/pecho/Aperturas-Peck-Deck-Multifuerza.MOV
